epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
190,4570.96,0.04411,0.80663,1,1.10778,4.60173e-05,4.60173e-05,4.60173e-05
191,4594.73,0.03384,0.81215,1,1.10573,4.2483e-05,4.2483e-05,4.2483e-05
192,4618.77,0.03801,0.82873,1,1.10106,3.89487e-05,3.89487e-05,3.89487e-05
193,4642.93,0.04157,0.81768,1,1.09969,3.54144e-05,3.54144e-05,3.54144e-05
194,4666.35,0.05697,0.80663,1,1.10297,3.18801e-05,3.18801e-05,3.18801e-05
195,4690.37,0.03878,0.81215,1,1.10439,2.83458e-05,2.83458e-05,2.83458e-05
196,4714.42,0.04204,0.8011,1,1.10165,2.48115e-05,2.48115e-05,2.48115e-05
197,4738.53,0.03996,0.8011,1,1.11024,2.12772e-05,2.12772e-05,2.12772e-05
198,4762.58,0.04112,0.81215,1,1.10684,1.77429e-05,1.77429e-05,1.77429e-05
199,4786.73,0.03851,0.80663,1,1.09866,1.42086e-05,1.42086e-05,1.42086e-05
200,4810.84,0.04137,0.8011,1,1.10458,1.06743e-05,1.06743e-05,1.06743e-05
